SID,Name,GroupNM,Group,Trial,Probe,Response,Correct,RT
134,JEH,low,1,5,1,1,1,1.4227
134,JEH,low,1,6,1,1,1,0.8219
134,JEH,low,1,7,1,1,1,0.4920
134,JEH,low,1,8,2,2,1,1.2321
134,JEH,low,1,9,2,2,1,0.7885
134,JEH,low,1,10,1,1,1,0.4649
134,JEH,low,1,11,2,2,1,1.0145
134,JEH,low,1,12,1,1,1,0.6356
125,BTS,low,1,1,1,1,1,1.1593
125,BTS,low,1,2,1,1,1,0.4922
125,BTS,low,1,3,2,2,1,0.9116
125,BTS,low,1,4,1,1,1,0.5684
125,BTS,low,1,5,2,2,1,0.8620
125,BTS,low,1,6,2,2,1,0.8344
125,BTS,low,1,7,1,1,1,0.6312
125,BTS,low,1,8,2,2,1,0.8917
125,BTS,low,1,9,2,2,1,0.8636
125,BTS,low,1,10,2,2,1,1.0676
125,BTS,low,1,11,1,2,0,1.5191
125,BTS,low,1,12,1,1,1,0.6296
126,JBY,low,1,1,1,1,1,0.9900
126,JBY,low,1,2,1,1,1,0.7679
126,JBY,low,1,3,2,2,1,0.7731
126,JBY,low,1,4,1,1,1,0.7164
126,JBY,low,1,5,2,2,1,0.7218
126,JBY,low,1,6,2,2,1,0.7288
126,JBY,low,1,7,1,1,1,0.5244
126,JBY,low,1,8,2,2,1,0.8189
126,JBY,low,1,9,2,2,1,0.8210
126,JBY,low,1,10,2,2,1,0.6095
126,JBY,low,1,11,1,1,1,1.2858
126,JBY,low,1,12,1,1,1,0.8748
139,KJE,low,1,1,2,2,1,1.9109
139,KJE,low,1,2,1,1,1,1.3074
139,KJE,low,1,3,2,2,1,1.3762
139,KJE,low,1,4,2,2,1,1.5574
139,KJE,low,1,5,1,1,1,1.3077
139,KJE,low,1,6,2,2,1,1.4390
139,KJE,low,1,7,1,1,1,1.1317
139,KJE,low,1,8,1,1,1,0.9463
139,KJE,low,1,9,2,2,1,1.2705
139,KJE,low,1,10,1,1,1,1.5892
139,KJE,low,1,11,1,1,1,0.7288
139,KJE,low,1,12,2,2,1,1.0524
140,LHB,low,1,1,2,2,1,1.4787
140,LHB,low,1,2,1,1,1,1.1009
140,LHB,low,1,3,2,2,1,1.0423
140,LHB,low,1,4,2,2,1,1.2224
140,LHB,low,1,5,1,1,1,1.2610
140,LHB,low,1,6,2,2,1,1.1702
140,LHB,low,1,7,1,1,1,0.9267
140,LHB,low,1,8,1,1,1,0.7060
140,LHB,low,1,9,2,2,1,1.1604
140,LHB,low,1,10,1,1,1,0.8679
140,LHB,low,1,11,1,1,1,0.4889
140,LHB,low,1,12,2,2,1,1.1983
141,LJH,low,1,1,2,2,1,1.7953
141,LJH,low,1,2,1,1,1,0.9342
141,LJH,low,1,3,2,2,1,1.0697
141,LJH,low,1,4,1,1,1,1.6181
141,LJH,low,1,5,1,1,1,0.6966
141,LJH,low,1,6,1,1,1,1.4040
141,LJH,low,1,7,2,2,1,0.8822
141,LJH,low,1,8,1,1,1,0.8856
141,LJH,low,1,9,1,1,1,0.6018
141,LJH,low,1,10,2,2,1,0.8266
141,LJH,low,1,11,2,2,1,0.9919
141,LJH,low,1,12,2,2,1,0.8690
142,LCH,low,1,1,2,2,1,1.6205
142,LCH,low,1,2,1,1,1,0.9545
142,LCH,low,1,3,2,2,1,1.0247
142,LCH,low,1,4,1,2,0,1.2851
142,LCH,low,1,5,1,1,1,0.6198
142,LCH,low,1,6,1,1,1,0.5289
142,LCH,low,1,7,2,2,1,1.2189
142,LCH,low,1,8,1,1,1,0.6155
142,LCH,low,1,9,1,1,1,0.4933
142,LCH,low,1,10,2,2,1,1.0056
142,LCH,low,1,11,2,2,1,0.9153
142,LCH,low,1,12,2,2,1,0.8870
