SID,Group,accWM,rtWM,rtNoCong,rtNoIncg,rtWmCong,rtWmIncg,erNoCong,erNoIncg,erWmCong,erWmIncg
143,lowload,0.916666667,0.890136364,367.1457627,385.8866667,370.1516667,371.4101695,0,0,0,0
144,lowload,1,0.621583333,331.39,336.6372881,323.2066667,326.2716667,0,0,0,0
151,lowload,0.916666667,1.2269,391.5508475,389.2862069,380.859322,405.1237288,0,0,0,0
152,lowload,0.916666667,1.176290909,393.0369565,399.2921569,390.9076923,391.5277778,21.66666667,15,13.33333333,10
153,lowload,1,0.926341667,394.5118644,409.5741379,390.759322,402.9084746,0,0,0,0
154,lowload,1,0.989191667,378.5107143,387.4264151,387.2428571,389.8836364,6.666666667,11.66666667,6.666666667,8.333333333
155,lowload,0.916666667,0.759081818,316.812069,324.1186441,324.1866667,328.8016949,0,0,0,0
156,lowload,0.75,0.805155556,330.4440678,322.5881356,334.6655172,324.8016949,1.666666667,1.666666667,1.666666667,0
157,lowload,0.75,0.917,340.3896552,357.4728814,362.7186441,369.06,0,0,0,0
158,lowload,1,0.7624,309.0534483,329.6586207,323.4192982,341.3793103,1.666666667,1.666666667,1.666666667,3.333333333
201,highload,0.916666667,1.261127273,337.8067797,350.079661,356.4932203,358.2689655,0,1.666666667,0,1.666666667
202,highload,0.916666667,0.873645455,309.0233333,302.1103448,313.662069,312.4016667,0,3.333333333,1.666666667,0
203,highload,0.5,1.325983333,449.845,468.9982759,511.2660714,532.3016667,0,1.666666667,3.333333333,0
204,highload,0.916666667,1.191127273,435.7428571,434.848,439.3756098,436.6837209,18.33333333,16.66666667,31.66666667,28.33333333
205,highload,0.916666667,1.277627273,331.3186441,336.0322034,335.9366667,336.4066667,0,0,0,0
207,highload,0.916666667,1.014545455,354.535,343.3762712,362.1016949,366.3694915,0,0,0,0
208,highload,0.75,0.927655556,351.2017241,336.9660714,346.5438596,340.6733333,3.333333333,5,5,0
217,highload,1,1.126658333,381.8559322,384.2474576,372.67,366.3516667,0,0,0,0
218,highload,1,1.271158333,372.0389831,371.9854545,358.55,368.7303571,1.666666667,8.333333333,5,6.666666667
219,highload,1,1.143233333,350.6762712,361.0271186,376.5559322,377.65,0,0,0,0
220,highload,1,0.768316667,337.2508475,332.959322,330.1915254,339.8818182,0,0,0,8.333333333
221,highload,0.916666667,1.034027273,351.6516667,352.5931034,362.0966667,362.1237288,0,0,0,0
222,highload,1,0.933708333,329.5508475,326.5779661,329.6724138,330.8333333,0,1.666666667,1.666666667,3.333333333
231,highload,1,1.0591,385.8816667,376.587931,349.0779661,367.7152542,0,0,0,0
232,highload,0.916666667,1.271181818,348.3830508,357.9237288,347.5431034,345.7310345,0,1.666666667,1.666666667,1.666666667
233,highload,0.916666667,1.1007,340.99,342.3807018,356.3086207,353.9396552,0,3.333333333,0,1.666666667
234,highload,1,1.1419,329.1118644,343.6101695,344.9912281,336.4474576,0,1.666666667,5,1.666666667
237,highload,0.916666667,1.042281818,338.3517241,340.7661017,343.375,343.3982759,1.666666667,0,0,1.666666667
238,highload,0.916666667,1.147481818,351.4333333,349.5145455,364.6589286,361.3035088,5,5,6.666666667,3.333333333
239,highload,0.666666667,1.73955,384.3,374.535,385.6603448,392.0448276,0,0,1.666666667,1.666666667
241,highload,0.916666667,1.090954546,309.1086207,320.5189655,326.059322,333.0898305,0,0,0,0
242,highload,0.916666667,0.835772727,339.6389831,337.459322,337.0931034,345.6982143,1.666666667,1.666666667,0,3.333333333
243,highload,0.75,1.593911111,423.2898305,416.955,428.7915254,412.5142857,0,0,0,1.666666667
244,highload,1,1.422183333,364.7344828,366.4537037,368.7448276,364.8350877,1.666666667,10,3.333333333,5
251,highload,1,1.155616667,357.8913793,372.9516667,365.11,354.0224138,0,0,0,1.666666667
252,highload,0.75,1.186288889,355.8303571,348.1526316,360.3127273,360.9464286,6.666666667,5,8.333333333,6.666666667
253,highload,0.75,0.924288889,367.740678,354.920339,357.2745763,360.7915254,0,0,0,0
254,highload,0.75,1.016533333,335.5428571,348.5226415,334.5509434,320.2827586,6.666666667,11.66666667,11.66666667,1.666666667
255,highload,0.916666667,1.210818182,345.9017857,340.1052632,337.1894737,362.2,5,3.333333333,1.666666667,0
256,highload,0.75,1.2789,334.5754386,331.8381818,339.2534483,344.0816667,5,6.666666667,3.333333333,0
257,highload,1,0.996208333,323.9051724,323.4305085,346.5915254,336.8423729,0,1.666666667,0,0
258,highload,0.916666667,0.925663636,306.4135593,309.8568966,312.679661,323.5033898,0,3.333333333,0,1.666666667
